,Доходность и загрузка,,,,,,,,,,,,
07.01.2024,,"285 500,00",15,,26,12,"19 033,33","6 206,52","1,08",52,6,46,"32,61 %"
08.01.2024,,"192 200,00",18,,42,17,"10 677,78","4 368,18","1,18",52,8,44,"40,91 %"
09.01.2024,,"178 000,00",17,,46,14,"10 470,59","4 238,10","1,36",52,10,42,"40,48 %"
10.01.2024,,"169 200,00",17,,36,12,"9 952,94","4 028,57","1,08",52,10,42,"40,48 %"
11.01.2024,,"135 000,00",14,,30,11,"9 642,86","3 139,53","1,09",52,9,43,"32,56 %"
12.01.2024,,"108 250,00",9,,19,8,"12 027,78","2 517,44","1,75",52,9,43,"20,93 %"
13.01.2024,,"360 750,00",32,,67,25,"11 273,44","8 389,53","1,12",52,9,43,"74,42 %"
14.01.2024,,"205 500,00",20,,44,18,"10 275,00","4 892,86","1,22",52,10,42,"47,62 %"
15.01.2024,,"101 300,00",12,,18,8,"8 441,67","2 202,17","1,38",52,6,46,"26,09 %"
16.01.2024,,"78 800,00",9,,15,6,"8 755,56","1 713,04","1,17",52,6,46,"19,57 %"
17.01.2024,,"81 600,00",9,,19,7,"9 066,67","1 700,00","1,14",52,4,48,"18,75 %"
18.01.2024,,"71 350,00",8,,19,7,"8 918,75","1 456,12","1,00",52,3,49,"16,33 %"
19.01.2024,,"243 860,00",21,,53,21,"11 612,38","4 976,73","1,19",52,3,49,"42,86 %"
20.01.2024,,"428 950,00",36,,84,31,"11 915,28","8 754,08","1,00",52,3,49,"73,47 %"
21.01.2024,,"137 050,00",15,,41,14,"9 136,67","2 855,21","1,14",52,4,48,"31,25 %"
22.01.2024,,"80 650,00",9,,23,7,"8 961,11","1 920,24","1,00",52,10,42,"21,43 %"
23.01.2024,,"69 150,00",9,,23,9,"7 683,33","1 608,14","1,22",52,9,43,"20,93 %"
24.01.2024,,"126 350,00",12,,31,10,"10 529,17","2 938,37","1,10",52,9,43,"27,91 %"
25.01.2024,,"89 400,00",11,,25,10,"8 127,27","2 079,07","1,10",52,9,43,"25,58 %"
26.01.2024,,"502 150,00",40,,89,39,"12 553,75","11 158,89","1,59",52,7,45,"88,89 %"
27.01.2024,,"581 320,00",43,,56,20,"13 519,07","12 918,22","1,00",52,7,45,"95,56 %"
28.01.2024,,"194 500,00",22,,55,22,"8 840,91","4 228,26","1,23",52,6,46,"47,83 %"
29.01.2024,,"108 210,00",13,,24,11,"8 323,85","2 164,20","1,09",52,2,50,"26,00 %"
30.01.2024,,"56 000,00",7,,12,5,"8 000,00","1 142,86","1,40",52,3,49,"14,29 %"
31.01.2024,,"92 200,00",12,,24,10,"7 683,33","1 844,00","1,10",52,2,50,"24,00 %"
февраля 2024,,"7 157 490,00",624,,1430,548,"11 470,34","5 141,88","1,13",1508,116,1392,"44,83 %"
01.02.2024,,"79 300,00",9,,19,6,"8 811,11","1 586,00","1,33",52,2,50,"18,00 %"
02.02.2024,,"195 150,00",16,,38,15,"12 196,88","3 752,88","1,40",52,0,52,"30,77 %"
03.02.2024,,"463 885,00",37,,85,30,"12 537,43","9 095,78","1,00",52,1,51,"72,55 %"
04.02.2024,,"139 000,00",14,,37,14,"9 928,57","2 725,49","1,29",52,1,51,"27,45 %"
05.02.2024,,"89 600,00",9,,14,6,"9 955,56","1 756,86","1,00",52,1,51,"17,65 %"
06.02.2024,,"83 450,00",8,,20,7,"10 431,25","1 636,27","1,00",52,1,51,"15,69 %"
07.02.2024,,"38 000,00",4,,9,4,"9 500,00","775,51","1,00",52,3,49,"8,16 %"
08.02.2024,,"95 900,00",10,,28,10,"9 590,00","1 957,14","1,20",52,3,49,"20,41 %"
09.02.2024,,"259 100,00",21,,46,18,"12 338,10","5 287,76","1,50",52,3,49,"42,86 %"
10.02.2024,,"556 250,00",42,,95,34,"13 244,05","12 092,39","1,03",52,6,46,"91,30 %"
11.02.2024,,"195 700,00",22,,52,20,"8 895,45","4 163,83","1,20",52,5,47,"46,81 %"
12.02.2024,,"165 400,00",18,,34,16,"9 188,89","3 445,83","1,06",52,4,48,"37,50 %"
13.02.2024,,"244 075,00",27,,55,23,"9 039,81","4 981,12","1,04",52,3,49,"55,10 %"
14.02.2024,,"439 050,00",40,,80,39,"10 976,25","10 210,47","1,05",52,9,43,"93,02 %"
15.02.2024,,"243 700,00",27,,67,25,"9 025,93","5 415,56","1,04",52,7,45,"60,00 %"
16.02.2024,,"292 675,00",26,,71,23,"11 256,73","6 362,50","1,17",52,6,46,"56,52 %"
17.02.2024,,"560 175,00",43,,97,39,"13 027,33","11 670,31","1,00",52,4,48,"89,58 %"
18.02.2024,,"182 960,00",18,,44,18,"10 164,44","3 977,39","1,06",52,6,46,"39,13 %"
19.02.2024,,"148 100,00",14,,31,13,"10 578,57","3 291,11","1,31",52,7,45,"31,11 %"
20.02.2024,,"244 100,00",23,,52,20,"10 613,04","5 424,44","1,20",52,7,45,"51,11 %"
21.02.2024,,"251 625,00",22,,53,18,"11 437,50","5 353,72","1,17",52,5,47,"46,81 %"
22.02.2024,,"378 585,00",35,,85,30,"10 816,71","8 055,00","1,10",52,5,47,"74,47 %"
23.02.2024,,"696 080,00",43,,109,40,"16 187,91","15 468,44","1,05",52,7,45,"95,56 %"
24.02.2024,,"547 180,00",42,,101,40,"13 028,10","12 159,56","1,18",52,7,45,"93,33 %"
25.02.2024,,"217 350,00",20,,46,16,"10 867,50","4 435,71","1,19",52,3,49,"40,82 %"
26.02.2024,,"109 800,00",10,,15,4,"10 980,00","2 287,50","1,00",52,4,48,"20,83 %"
27.02.2024,,"66 700,00",6,,12,6,"11 116,67","1 361,22","1,33",52,3,49,"12,24 %"
28.02.2024,,"99 600,00",10,,21,8,"9 960,00","2 032,65","1,50",52,3,49,"20,41 %"
29.02.2024,,"75 000,00",8,,14,6,"9 375,00","1 442,31","1,17",52,0,52,"15,38 %"
марта 2024,,"6 138 606,00",564,,1441,510,"10 884,05","3 947,66","1,09",1612,57,1555,"36,27 %"
01.03.2024,,"241 800,00",19,,50,17,"12 726,32","4 650,00","1,12",52,0,52,"36,54 %"
02.03.2024,,"505 730,00",40,,111,37,"12 643,25","9 725,58","1,03",52,0,52,"76,92 %"
03.03.2024,,"111 650,00",12,,29,10,"9 304,17","2 147,12","1,10",52,0,52,"23,08 %"
04.03.2024,,"44 600,00",4,,8,3,"11 150,00","857,69","1,33",52,0,52,"7,69 %"
05.03.2024,,"58 380,00",6,,14,5,"9 730,00","1 122,69","1,20",52,0,52,"11,54 %"
06.03.2024,,"100 690,00",10,,23,9,"10 069,00","1 936,35","1,00",52,0,52,"19,23 %"
07.03.2024,,"433 565,00",41,,126,41,"10 574,76","8 337,79","1,12",52,0,52,"78,85 %"
08.03.2024,,"685 000,00",44,,112,40,"15 568,18","13 700,00","1,18",52,2,50,"88,00 %"
09.03.2024,,"618 000,00",46,,115,38,"13 434,78","12 360,00","1,00",52,2,50,"92,00 %"
10.03.2024,,"110 165,00",13,,36,13,"8 474,23","2 203,30","1,08",52,2,50,"26,00 %"
11.03.2024,,"50 700,00",6,,14,5,"8 450,00","1 056,25","1,20",52,4,48,"12,50 %"
12.03.2024,,"54 400,00",8,,16,7,"6 800,00","1 110,20","1,29",52,3,49,"16,33 %"
13.03.2024,,"87 950,00",10,,20,8,"8 795,00","1 794,90","1,00",52,3,49,"20,41 %"
14.03.2024,,"63 730,00",7,,17,7,"9 104,29","1 300,61","1,00",52,3,49,"14,29 %"
15.03.2024,,"175 850,00",17,,44,16,"10 344,12","3 517,00","1,13",52,2,50,"34,00 %"
16.03.2024,,"481 920,00",38,,106,36,"12 682,11","9 638,40","1,03",52,2,50,"76,00 %"
17.03.2024,,"86 745,00",11,,24,10,"7 885,91","1 807,19","1,00",52,4,48,"22,92 %"
18.03.2024,,"110 390,00",14,,35,14,"7 885,00","2 453,11","1,00",52,7,45,"31,11 %"
19.03.2024,,"49 890,00",8,,19,8,"6 236,25","1 018,16","1,25",52,3,49,"16,33 %"
20.03.2024,,"44 570,00",8,,12,5,"5 571,25","909,59","1,00",52,3,49,"16,33 %"
21.03.2024,,"70 000,00",10,,20,10,"7 000,00","1 400,00","1,10",52,2,50,"20,00 %"
22.03.2024,,"110 520,00",9,,24,8,"12 280,00","2 255,51","1,13",52,3,49,"18,37 %"
23.03.2024,,"360 100,00",31,,80,30,"11 616,13","7 060,78","1,13",52,1,51,"60,78 %"
24.03.2024,,"146 395,00",19,,48,16,"7 705,00","2 870,49","1,25",52,1,51,"37,25 %"
25.03.2024,,"93 880,00",10,,18,5,"9 388,00","1 805,38","1,60",52,0,52,"19,23 %"
26.03.2024,,"123 880,00",14,,32,12,"8 848,57","2 382,31","1,08",52,0,52,"26,92 %"
27.03.2024,,"113 830,00",15,,42,13,"7 588,67","2 276,60","1,00",52,2,50,"30,00 %"
28.03.2024,,"133 456,00",16,,54,16,"8 341,00","2 669,12","1,19",52,2,50,"32,00 %"
29.03.2024,,"235 420,00",21,,55,19,"11 210,48","4 708,40","1,16",52,2,50,"42,00 %"
30.03.2024,,"435 280,00",37,,93,34,"11 764,32","8 705,60","1,03",52,2,50,"74,00 %"
31.03.2024,,"200 120,00",20,,44,18,"10 006,00","4 002,40","1,00",52,2,50,"40,00 %"
апреля 2024,,"7 492 094,00",697,,1455,559,"10 749,06","5 096,66","1,25",1560,90,1470,"47,41 %"
01.04.2024,,"42 140,00",5,,10,5,"8 428,00","860,00","1,00",52,3,49,"10,20 %"
02.04.2024,,"98 230,00",11,,23,11,"8 930,00","2 004,69","1,00",52,3,49,"22,45 %"
03.04.2024,,"60 260,00",6,,12,6,"10 043,33","1 255,42","2,00",52,4,48,"12,50 %"
04.04.2024,,"86 900,00",9,,17,7,"9 655,56","1 773,47","1,57",52,3,49,"18,37 %"
05.04.2024,,"257 420,00",19,,35,14,"13 548,42","5 253,47","1,36",52,3,49,"38,78 %"
06.04.2024,,"508 070,00",40,,90,32,"12 701,75","10 161,40","1,03",52,2,50,"80,00 %"
07.04.2024,,"86 350,00",11,,22,9,"7 850,00","1 727,00","1,00",52,2,50,"22,00 %"
08.04.2024,,"81 010,00",9,,25,9,"9 001,11","1 557,88","1,22",52,0,52,"17,31 %"
09.04.2024,,"171 285,00",22,,60,20,"7 785,68","3 293,94","1,00",52,0,52,"42,31 %"
10.04.2024,,"128 920,00",18,,43,17,"7 162,22","2 930,00","1,12",52,8,44,"40,91 %"
11.04.2024,,"87 745,00",14,,28,12,"6 267,50","2 089,17","1,33",52,10,42,"33,33 %"
12.04.2024,,"175 560,00",17,,27,13,"10 327,06","3 442,35","1,08",52,1,51,"33,33 %"
13.04.2024,,"501 220,00",44,,123,42,"11 391,36","10 442,08","1,07",52,4,48,"91,67 %"
14.04.2024,,"139 660,00",16,,33,14,"8 728,75","2 850,20","0,93",52,3,49,"32,65 %"
15.04.2024,,"91 530,00",10,,19,9,"9 153,00","2 288,25","1,22",52,12,40,"25,00 %"
16.04.2024,,"128 440,00",15,,27,12,"8 562,67","2 568,80","1,42",52,2,50,"30,00 %"
17.04.2024,,"107 860,00",15,,30,12,"7 190,67","2 074,23","1,17",52,0,52,"28,85 %"
18.04.2024,,"151 620,00",19,,36,14,"7 980,00","3 032,40","1,21",52,2,50,"38,00 %"
19.04.2024,,"340 010,00",29,,77,26,"11 724,48","6 800,20","1,69",52,2,50,"58,00 %"
20.04.2024,,"568 100,00",47,,77,33,"12 087,23","11 362,00","1,03",52,2,50,"94,00 %"
21.04.2024,,"291 100,00",30,,66,24,"9 703,33","5 822,00","1,21",52,2,50,"60,00 %"
22.04.2024,,"183 480,00",20,,35,16,"9 174,00","4 170,00","1,50",52,8,44,"45,45 %"
23.04.2024,,"207 990,00",22,,33,15,"9 454,09","4 727,05","1,53",52,8,44,"50,00 %"
24.04.2024,,"147 850,00",16,,17,8,"9 240,63","3 017,35","1,13",52,3,49,"32,65 %"
25.04.2024,,"179 720,00",17,,30,13,"10 571,76","3 594,40","1,23",52,2,50,"34,00 %"
26.04.2024,,"178 802,00",15,,33,12,"11 920,13","3 438,50","1,50",52,0,52,"28,85 %"
27.04.2024,,"546 552,00",47,,106,41,"11 628,77","10 510,62","1,22",52,0,52,"90,38 %"
28.04.2024,,"636 720,00",51,,120,45,"12 484,71","12 484,71","1,60",52,1,51,"100,00 %"
29.04.2024,,"652 430,00",52,,99,33,"12 546,73","12 546,73","1,30",52,0,52,"100,00 %"
30.04.2024,,"655 120,00",51,,102,35,"12 845,49","12 598,46","1,09",52,0,52,"98,08 %"
мая 2024,,"8 238 965,00",690,,1523,565,"11 940,53","5 445,45","1,21",1612,99,1513,"45,60 %"
01.05.2024,,"244 000,00",18,,29,12,"13 555,56","4 692,31","1,17",52,0,52,"34,62 %"
02.05.2024,,"163 000,00",16,,33,13,"10 187,50","3 326,53","1,23",52,3,49,"32,65 %"
03.05.2024,,"151 200,00",12,,25,9,"12 600,00","2 907,69","1,11",52,0,52,"23,08 %"
04.05.2024,,"462 100,00",36,,93,33,"12 836,11","8 886,54","1,06",52,0,52,"69,23 %"
05.05.2024,,"167 500,00",12,,28,9,"13 958,33","3 284,31","1,22",52,1,51,"23,53 %"
06.05.2024,,"204 000,00",20,,53,19,"10 200,00","4 000,00","1,26",52,1,51,"39,22 %"
07.05.2024,,"205 100,00",20,,40,14,"10 255,00","4 021,57","1,36",52,1,51,"39,22 %"
08.05.2024,,"299 900,00",29,,74,25,"10 341,38","5 880,39","1,44",52,1,51,"56,86 %"
09.05.2024,,"610 942,50",48,,97,39,"12 727,97","11 979,26","1,36",52,1,51,"94,12 %"
10.05.2024,,"681 482,50",51,,86,36,"13 362,40","13 362,40","1,89",52,1,51,"100,00 %"
11.05.2024,,"647 400,00",48,,45,15,"13 487,50","12 948,00","1,00",52,2,50,"96,00 %"
12.05.2024,,"163 440,00",14,,38,13,"11 674,29","3 204,71","1,15",52,1,51,"27,45 %"
13.05.2024,,"98 900,00",9,,18,7,"10 988,89","1 939,22","1,00",52,1,51,"17,65 %"
14.05.2024,,"140 430,00",14,,42,13,"10 030,71","2 700,58","1,00",52,0,52,"26,92 %"
15.05.2024,,"0,00",0,,0,0,"0,00","0,00","0,00",52,43,9,"0,00 %"
16.05.2024,,"196 150,00",19,,46,19,"10 323,68","3 772,12","1,00",52,0,52,"36,54 %"
17.05.2024,,"244 900,00",18,,46,18,"13 605,56","4 709,62","1,33",52,0,52,"34,62 %"
18.05.2024,,"622 950,00",50,,130,45,"12 459,00","12 214,71","1,04",52,1,51,"98,04 %"
19.05.2024,,"220 100,00",21,,42,19,"10 480,95","4 232,69","1,05",52,0,52,"40,38 %"
20.05.2024,,"92 650,00",9,,14,7,"10 294,44","1 781,73","1,14",52,0,52,"17,31 %"
21.05.2024,,"139 720,00",14,,37,13,"9 980,00","2 686,92","1,08",52,0,52,"26,92 %"
22.05.2024,,"130 820,00",13,,32,12,"10 063,08","2 565,10","1,17",52,1,51,"25,49 %"
23.05.2024,,"138 100,00",14,,30,11,"9 864,29","3 634,21","1,09",52,14,38,"36,84 %"
24.05.2024,,"247 050,00",19,,40,17,"13 002,63","5 146,88","1,12",52,4,48,"39,58 %"
25.05.2024,,"656 170,00",50,,126,47,"13 123,40","12 866,08","1,09",52,1,51,"98,04 %"
26.05.2024,,"200 460,00",20,,46,19,"10 023,00","3 855,00","1,16",52,0,52,"38,46 %"
27.05.2024,,"97 560,00",10,,17,6,"9 756,00","1 876,15","1,00",52,0,52,"19,23 %"
28.05.2024,,"63 260,00",6,,13,5,"10 543,33","1 757,22","1,00",52,16,36,"16,67 %"
29.05.2024,,"157 410,00",15,,40,14,"10 494,00","3 421,96","1,21",52,6,46,"32,61 %"
30.05.2024,,"252 020,00",23,,48,19,"10 957,39","4 846,54","1,47",52,0,52,"44,23 %"
31.05.2024,,"540 250,00",42,,115,37,"12 863,10","10 389,42","1,14",52,0,52,"80,77 %"
июня 2024,,"15 691 972,50",1214,,1933,741,"12 925,84","10 216,13","1,64",1560,24,1536,"79,04 %"
01.06.2024,,"717 750,00",51,,123,42,"14 073,53","14 073,53","1,02",52,1,51,"100,00 %"
02.06.2024,,"367 000,00",30,,72,29,"12 233,33","7 057,69","1,14",52,0,52,"57,69 %"
03.06.2024,,"113 380,00",11,,17,7,"10 307,27","2 267,60","1,29",52,2,50,"22,00 %"
04.06.2024,,"80 920,00",9,,16,8,"8 991,11","1 556,15","1,38",52,0,52,"17,31 %"
05.06.2024,,"157 480,00",15,,28,11,"10 498,67","3 149,60","1,18",52,2,50,"30,00 %"
06.06.2024,,"336 810,00",31,,75,25,"10 864,84","6 604,12","1,16",52,1,51,"60,78 %"
07.06.2024,,"420 510,00",28,,65,23,"15 018,21","8 086,73","1,22",52,0,52,"53,85 %"
08.06.2024,,"730 350,00",51,,132,46,"14 320,59","14 045,19","1,13",52,0,52,"98,08 %"
09.06.2024,,"377 850,00",32,,71,28,"11 807,81","7 266,35","1,46",52,0,52,"61,54 %"
10.06.2024,,"309 800,00",25,,44,17,"12 392,00","5 957,69","1,29",52,0,52,"48,08 %"
11.06.2024,,"586 200,00",51,,118,41,"11 494,12","11 273,08","1,46",52,0,52,"98,08 %"
12.06.2024,,"596 650,00",45,,83,31,"13 258,89","11 699,02","1,13",52,1,51,"88,24 %"
13.06.2024,,"504 550,00",40,,83,30,"12 613,75","9 702,88","1,17",52,0,52,"76,92 %"
14.06.2024,,"610 900,00",46,,103,38,"13 280,43","12 218,00","1,00",52,2,50,"92,00 %"
15.06.2024,,"655 150,00",52,,104,52,"12 599,04","12 599,04","4,00",52,0,52,"100,00 %"
16.06.2024,,"647 150,00",52,,0,0,"12 445,19","12 445,19","0,00",52,0,52,"100,00 %"
17.06.2024,,"647 150,00",52,,0,0,"12 445,19","12 445,19","0,00",52,0,52,"100,00 %"
18.06.2024,,"647 150,00",52,,0,0,"12 445,19","12 445,19","0,00",52,0,52,"100,00 %"
19.06.2024,,"444 200,00",35,,87,35,"12 691,43","8 884,00","1,00",52,2,50,"70,00 %"
20.06.2024,,"784 800,00",52,,104,52,"15 092,31","15 092,31","3,00",52,0,52,"100,00 %"
21.06.2024,,"784 800,00",52,,0,0,"15 092,31","15 092,31","0,00",52,0,52,"100,00 %"
22.06.2024,,"784 800,00",52,,0,0,"15 092,31","15 092,31","0,00",52,0,52,"100,00 %"
23.06.2024,,"564 250,00",46,,117,46,"12 266,30","10 850,96","2,24",52,0,52,"88,46 %"
24.06.2024,,"571 850,00",48,,67,26,"11 913,54","11 212,75","2,42",52,1,51,"94,12 %"
25.06.2024,,"569 777,50",47,,57,21,"12 122,93","11 172,11","1,14",52,1,51,"92,16 %"
26.06.2024,,"589 825,00",48,,68,22,"12 288,02","11 342,79","1,23",52,0,52,"92,31 %"
27.06.2024,,"497 800,00",41,,43,17,"12 141,46","10 591,49","1,12",52,5,47,"87,23 %"
28.06.2024,,"371 500,00",28,,59,22,"13 267,86","7 739,58","1,27",52,4,48,"58,33 %"
29.06.2024,,"732 750,00",51,,126,44,"14 367,65","14 367,65","1,34",52,1,51,"100,00 %"
30.06.2024,,"488 870,00",41,,71,28,"11 923,66","9 585,69","1,50",52,1,51,"80,39 %"
июля 2024,,"18 381 667,50",1400,,3036,1102,"13 129,76","11 059,97","1,25",1696,34,1662,"84,24 %"
01.07.2024,,"338 862,50",29,,59,20,"11 684,91","6 915,56","1,50",52,3,49,"59,18 %"
02.07.2024,,"445 612,50",41,,92,30,"10 868,60","10 127,56","1,23",52,8,44,"93,18 %"
03.07.2024,,"614 362,50",52,,114,40,"11 814,66","11 814,66","1,40",52,0,52,"100,00 %"
04.07.2024,,"603 882,50",52,,92,32,"11 613,13","11 840,83","1,22",52,1,51,"101,96 %"
05.07.2024,,"693 637,50",49,,111,42,"14 155,87","13 339,18","1,36",52,0,52,"94,23 %"
06.07.2024,,"743 542,50",52,,102,37,"14 298,89","14 298,89","1,08",52,0,52,"100,00 %"
07.07.2024,,"671 600,00",34,,79,30,"19 752,94","12 915,38","1,03",52,0,52,"65,38 %"
08.07.2024,,"384 500,00",31,,86,30,"12 403,23","7 394,23","1,83",52,0,52,"59,62 %"
09.07.2024,,"464 470,00",38,,71,24,"12 222,89","8 763,58","1,79",56,3,53,"71,70 %"
10.07.2024,,"535 480,00",44,,79,29,"12 170,00","9 916,30","1,28",56,2,54,"81,48 %"
11.07.2024,,"568 450,00",46,,87,33,"12 357,61","10 526,85","1,24",56,2,54,"85,19 %"
12.07.2024,,"768 800,00",52,,109,42,"14 784,62","13 728,57","1,17",56,0,56,"92,86 %"
13.07.2024,,"756 370,00",52,,108,40,"14 545,58","13 506,61","1,18",56,0,56,"92,86 %"
14.07.2024,,"655 400,00",53,,142,50,"12 366,04","11 703,57","1,34",56,0,56,"94,64 %"
15.07.2024,,"643 850,00",51,,103,41,"12 624,51","11 497,32","1,66",56,0,56,"91,07 %"
16.07.2024,,"649 070,00",52,,71,26,"12 482,12","11 590,54","1,38",56,0,56,"92,86 %"
17.07.2024,,"657 320,00",52,,88,32,"12 640,77","11 737,86","1,03",56,0,56,"92,86 %"
18.07.2024,,"640 300,00",50,,111,43,"12 806,00","11 433,93","1,00",56,0,56,"89,29 %"
19.07.2024,,"724 400,00",52,,104,52,"13 930,77","12 935,71","1,00",56,0,56,"92,86 %"
20.07.2024,,"731 767,50",51,,152,51,"14 348,38","13 067,28","1,27",56,0,56,"91,07 %"
21.07.2024,,"680 990,00",52,,123,42,"13 095,96","12 160,54","1,31",56,0,56,"92,86 %"
22.07.2024,,"602 380,00",48,,105,38,"12 549,58","10 952,36","1,42",56,1,55,"87,27 %"
23.07.2024,,"561 980,00",45,,74,28,"12 488,44","10 407,04","1,21",56,2,54,"83,33 %"
24.07.2024,,"409 250,00",34,,81,26,"12 036,76","8 352,04","1,54",56,7,49,"69,39 %"
25.07.2024,,"573 270,00",46,,88,31,"12 462,39","10 236,96","1,16",56,0,56,"82,14 %"
26.07.2024,,"711 370,00",51,,143,43,"13 948,43","12 703,04","1,05",56,0,56,"91,07 %"
27.07.2024,,"778 950,00",52,,135,50,"14 979,81","13 909,82","1,00",56,0,56,"92,86 %"
28.07.2024,,"490 500,00",39,,115,39,"12 576,92","8 758,93","1,10",56,0,56,"69,64 %"
29.07.2024,,"424 700,00",32,,74,28,"13 271,88","7 583,93","1,29",56,0,56,"57,14 %"
30.07.2024,,"431 100,00",35,,73,28,"12 317,14","8 290,38","1,29",52,0,52,"67,31 %"
31.07.2024,,"425 500,00",33,,65,25,"12 893,94","9 053,19","1,00",52,5,47,"70,21 %"
августа 2024,,"17 150 960,00",1226,,2535,938,"13 989,36","10 848,17","1,25",1612,31,1581,"77,55 %"
01.08.2024,,"321 100,00",24,,61,23,"13 379,17","6 175,00","1,04",52,0,52,"46,15 %"
02.08.2024,,"722 500,00",48,,118,46,"15 052,08","13 894,23","1,28",52,0,52,"92,31 %"
03.08.2024,,"757 250,00",52,,122,42,"14 562,50","14 562,50","1,14",52,0,52,"100,00 %"
04.08.2024,,"479 025,00",38,,82,29,"12 605,92","9 212,02","1,34",52,0,52,"73,08 %"
05.08.2024,,"511 025,00",36,,71,29,"14 195,14","9 827,40","1,48",52,0,52,"69,23 %"
06.08.2024,,"510 650,00",38,,74,25,"13 438,16","9 820,19","1,44",52,0,52,"73,08 %"
07.08.2024,,"530 040,00",39,,74,29,"13 590,77","11 042,50","1,21",52,4,48,"81,25 %"
08.08.2024,,"508 200,00",37,,69,25,"13 735,14","9 964,71","1,04",52,1,51,"72,55 %"
09.08.2024,,"573 402,50",37,,93,33,"15 497,36","11 026,97","1,21",52,0,52,"71,15 %"
10.08.2024,,"826 750,00",52,,126,45,"15 899,04","15 899,04","1,29",52,0,52,"100,00 %"
11.08.2024,,"452 600,00",33,,68,25,"13 715,15","9 429,17","1,36",52,4,48,"68,75 %"
12.08.2024,,"484 550,00",38,,71,28,"12 751,32","10 094,79","1,61",52,4,48,"79,17 %"
13.08.2024,,"479 162,50",37,,70,27,"12 950,34","10 194,95","1,30",52,5,47,"78,72 %"
14.08.2024,,"474 262,50",36,,66,24,"13 173,96","9 299,26","1,21",52,1,51,"70,59 %"
15.08.2024,,"395 400,00",29,,57,20,"13 634,48","7 752,94","1,30",52,1,51,"56,86 %"
16.08.2024,,"678 700,00",42,,90,34,"16 159,52","13 051,92","1,24",52,0,52,"80,77 %"
17.08.2024,,"880 000,00",52,,111,45,"16 923,08","16 923,08","1,02",52,0,52,"100,00 %"
18.08.2024,,"311 100,00",22,,46,19,"14 140,91","6 100,00","1,16",52,1,51,"43,14 %"
19.08.2024,,"372 700,00",28,,68,24,"13 310,71","7 167,31","1,38",52,0,52,"53,85 %"
20.08.2024,,"487 800,00",35,,70,25,"13 937,14","9 564,71","1,28",52,1,51,"68,63 %"
21.08.2024,,"389 100,00",27,,49,19,"14 411,11","8 278,72","1,00",52,5,47,"57,45 %"
22.08.2024,,"120 700,00",53,,28,9,"2 277,36","2 321,15","1,22",52,0,52,"101,92 %"
23.08.2024,,"1 105 400,00",52,,107,51,"21 257,69","21 257,69","2,00",52,0,52,"100,00 %"
24.08.2024,,"698 400,00",52,,0,0,"13 430,77","13 430,77","0,00",52,0,52,"100,00 %"
25.08.2024,,"617 600,00",46,,128,46,"13 426,09","11 876,92","1,11",52,0,52,"88,46 %"
26.08.2024,,"356 620,00",26,,57,21,"13 716,15","7 429,58","1,14",52,4,48,"54,17 %"
27.08.2024,,"431 920,00",33,,79,29,"13 088,48","8 306,15","1,10",52,0,52,"63,46 %"
