,Доходность и загрузка,,,,,,,,,,,,
07.01.2026,,"329 625,00",24,,43,17,"13 734,38","7 491,48","1,06",55,11,44,"54,55 %"
08.01.2026,,"341 300,00",26,,64,23,"13 126,92","7 756,82","1,13",55,11,44,"59,09 %"
09.01.2026,,"397 646,13",35,,84,31,"11 361,32","9 247,58","1,10",55,12,43,"81,40 %"
10.01.2026,,"326 150,00",29,,65,25,"11 246,55","7 584,88","1,00",55,12,43,"67,44 %"
11.01.2026,,"46 050,00",6,,13,6,"7 675,00","1 123,17","1,00",55,14,41,"14,63 %"
12.01.2026,,"54 890,00",5,,14,5,"10 978,00","1 338,78","1,20",55,14,41,"12,20 %"
13.01.2026,,"78 790,00",8,,15,7,"9 848,75","1 921,71","1,14",55,14,41,"19,51 %"
14.01.2026,,"40 750,00",4,,6,3,"10 187,50","993,90","1,33",55,14,41,"9,76 %"
15.01.2026,,"41 570,00",4,,6,3,"10 392,50","1 013,90","1,00",55,14,41,"9,76 %"
16.01.2026,,"85 620,00",9,,22,9,"9 513,33","2 140,50","1,33",55,15,40,"22,50 %"
17.01.2026,,"279 693,63",24,,50,21,"11 653,90","6 992,34","1,00",55,15,40,"60,00 %"
18.01.2026,,"96 360,00",10,,28,9,"9 636,00","2 535,79","1,11",55,17,38,"26,32 %"
19.01.2026,,"88 920,00",9,,23,8,"9 880,00","2 223,00","1,75",55,15,40,"22,50 %"
20.01.2026,,"38 900,00",5,,10,4,"7 780,00","972,50","1,00",55,15,40,"12,50 %"
21.01.2026,,"45 265,00",6,,10,5,"7 544,17","1 131,63","1,40",55,15,40,"15,00 %"
22.01.2026,,"87 870,00",10,,18,7,"8 787,00","2 196,75","1,14",55,15,40,"25,00 %"
23.01.2026,,"79 103,69",11,,28,9,"7 191,24","1 977,59","1,22",55,15,40,"27,50 %"
24.01.2026,,"321 503,31",28,,67,25,"11 482,26","8 460,61","1,00",55,17,38,"73,68 %"
25.01.2026,,"74 955,00",13,,22,9,"5 765,77","2 025,81","1,00",55,18,37,"35,14 %"
26.01.2026,,"59 543,00",7,,22,7,"8 506,14","1 566,92","1,57",55,17,38,"18,42 %"
27.01.2026,,"52 245,00",5,,6,2,"10 449,00","1 374,87","1,00",55,17,38,"13,16 %"
28.01.2026,,"82 600,00",11,,22,10,"7 509,09","2 014,63","1,00",55,14,41,"26,83 %"
29.01.2026,,"87 360,00",9,,28,9,"9 706,67","2 130,73","1,11",55,14,41,"21,95 %"
30.01.2026,,"139 700,00",17,,44,15,"8 217,65","3 492,50","1,27",55,15,40,"42,50 %"
31.01.2026,,"397 523,00",36,,89,33,"11 042,31","9 695,68","1,03",55,14,41,"87,80 %"
февраля 2026,,"4 438 975,84",469,,998,388,"9 464,77","3 794,00","1,15",1540,370,1170,"40,09 %"
01.02.2026,,"151 540,00",19,,44,16,"7 975,79","3 885,64","1,31",55,16,39,"48,72 %"
02.02.2026,,"60 900,00",9,,13,5,"6 766,67","1 522,50","1,60",55,15,40,"22,50 %"
03.02.2026,,"62 665,00",8,,8,4,"7 833,13","1 566,63","1,00",55,15,40,"20,00 %"
04.02.2026,,"50 094,00",6,,12,4,"8 349,00","1 284,46","1,00",55,16,39,"15,38 %"
05.02.2026,,"69 310,00",9,,21,8,"7 701,11","1 690,49","1,13",55,14,41,"21,95 %"
06.02.2026,,"90 679,00",14,,31,12,"6 477,07","2 325,10","1,25",55,16,39,"35,90 %"
07.02.2026,,"442 154,00",38,,90,35,"11 635,63","10 784,24","1,03",55,14,41,"92,68 %"
08.02.2026,,"48 259,00",7,,15,6,"6 894,14","1 206,48","1,50",55,15,40,"17,50 %"
09.02.2026,,"13 305,00",2,,3,1,"6 652,50","332,63","1,00",55,15,40,"5,00 %"
10.02.2026,,"47 815,00",8,,14,6,"5 976,88","1 195,38","1,33",55,15,40,"20,00 %"
11.02.2026,,"17 625,00",5,,0,0,"3 525,00","409,88","0,00",55,12,43,"11,63 %"
12.02.2026,,"106 770,00",13,,30,13,"8 213,08","2 604,15","1,08",55,14,41,"31,71 %"
13.02.2026,,"309 290,00",34,,86,32,"9 096,76","7 543,66","1,13",55,14,41,"82,93 %"
14.02.2026,,"574 632,00",43,,95,39,"13 363,53","13 059,82","1,05",55,11,44,"97,73 %"
15.02.2026,,"201 549,50",23,,51,20,"8 763,02","4 687,20","1,30",55,12,43,"53,49 %"
16.02.2026,,"80 885,00",10,,21,8,"8 088,50","1 838,30","1,50",55,11,44,"22,73 %"
17.02.2026,,"71 698,00",10,,13,6,"7 169,80","1 667,40","1,33",55,12,43,"23,26 %"
18.02.2026,,"157 385,00",17,,28,13,"9 257,94","3 660,12","1,00",55,12,43,"39,53 %"
19.02.2026,,"36 215,00",5,,8,3,"7 243,00","804,78","2,33",55,10,45,"11,11 %"
20.02.2026,,"199 025,00",23,,49,20,"8 653,26","4 523,30","1,30",55,11,44,"52,27 %"
21.02.2026,,"466 703,00",43,,103,38,"10 853,56","10 853,56","1,16",55,12,43,"100,00 %"
22.02.2026,,"467 504,19",42,,92,34,"11 131,05","10 872,19","1,00",55,12,43,"97,67 %"
23.02.2026,,"126 515,00",17,,27,12,"7 442,06","2 942,21","1,00",55,12,43,"39,53 %"
24.02.2026,,"44 120,00",6,,12,4,"7 353,33","1 050,48","1,50",55,13,42,"14,29 %"
25.02.2026,,"72 126,00",9,,11,5,"8 014,00","1 677,35","1,20",55,12,43,"20,93 %"
26.02.2026,,"55 509,00",7,,13,5,"7 929,86","1 290,91","1,20",55,12,43,"16,28 %"
27.02.2026,,"116 753,00",13,,32,12,"8 981,00","2 653,48","1,08",55,11,44,"29,55 %"
28.02.2026,,"297 950,15",29,,76,27,"10 274,14","7 639,75","1,07",55,16,39,"74,36 %"
марта 2026,,"4 892 306,85",521,,1205,450,"9 390,22","3 499,50","1,15",1701,303,1398,"37,27 %"
01.03.2026,,"117 795,00",13,,26,11,"9 061,15","2 944,88","1,00",55,15,40,"32,50 %"
02.03.2026,,"51 119,00",7,,16,6,"7 302,71","1 246,80","1,00",55,14,41,"17,07 %"
03.03.2026,,"31 482,00",5,,13,4,"6 296,40","749,57","1,25",55,13,42,"11,90 %"
04.03.2026,,"51 898,00",6,,9,5,"8 649,67","1 206,93","1,20",55,12,43,"13,95 %"
05.03.2026,,"67 735,00",8,,20,7,"8 466,88","1 575,23","1,29",55,12,43,"18,60 %"
06.03.2026,,"150 218,00",16,,33,14,"9 388,63","3 338,18","1,36",55,10,45,"35,56 %"
07.03.2026,,"550 046,90",46,,119,45,"11 957,54","11 459,31","1,16",55,7,48,"95,83 %"
08.03.2026,,"502 864,62",43,,103,34,"11 694,53","10 699,25","1,00",55,8,47,"91,49 %"
09.03.2026,,"93 612,00",12,,28,10,"7 801,00","2 035,04","0,90",55,9,46,"26,09 %"
10.03.2026,,"41 160,00",5,,8,4,"8 232,00","914,67","1,25",55,10,45,"11,11 %"
11.03.2026,,"103 540,00",12,,22,10,"8 628,33","2 250,87","1,20",55,9,46,"26,09 %"
12.03.2026,,"128 895,00",16,,29,14,"8 055,94","2 802,07","1,14",55,9,46,"34,78 %"
13.03.2026,,"77 215,00",9,,20,7,"8 579,44","1 754,89","1,00",55,11,44,"20,45 %"
14.03.2026,,"312 982,40",28,,71,28,"11 177,94","7 451,96","1,00",55,13,42,"66,67 %"
15.03.2026,,"81 130,00",10,,21,9,"8 113,00","1 843,86","1,00",55,11,44,"22,73 %"
16.03.2026,,"18 900,00",2,,9,2,"9 450,00","420,00","1,00",55,10,45,"4,44 %"
17.03.2026,,"46 650,00",5,,13,5,"9 330,00","1 036,67","1,20",55,10,45,"11,11 %"
18.03.2026,,"59 562,00",8,,14,7,"7 445,25","1 323,60","1,57",55,10,45,"17,78 %"
19.03.2026,,"126 860,00",16,,37,14,"7 928,75","2 819,11","1,00",55,10,45,"35,56 %"
20.03.2026,,"435 655,40",40,,99,39,"10 891,39","9 076,15","1,15",55,7,48,"83,33 %"
21.03.2026,,"390 434,25",39,,93,31,"10 011,13","8 307,11","1,00",55,8,47,"82,98 %"
22.03.2026,,"90 380,00",13,,23,10,"6 952,31","1 922,98","1,30",55,8,47,"27,66 %"
23.03.2026,,"121 025,00",14,,28,11,"8 644,64","2 521,35","1,18",55,7,48,"29,17 %"
24.03.2026,,"60 060,00",9,,12,6,"6 673,33","1 277,87","1,33",55,8,47,"19,15 %"
25.03.2026,,"136 096,75",16,,38,14,"8 506,05","2 777,48","1,07",57,8,49,"32,65 %"
26.03.2026,,"79 774,00",11,,14,7,"7 252,18","1 734,22","1,00",54,8,46,"23,91 %"
27.03.2026,,"184 493,78",20,,56,20,"9 224,69","4 193,04","1,10",54,10,44,"45,45 %"
28.03.2026,,"288 921,00",26,,73,24,"11 112,35","6 566,39","1,13",54,10,44,"59,09 %"
29.03.2026,,"150 183,75",23,,56,18,"6 529,73","3 337,42","1,17",54,9,45,"51,11 %"
30.03.2026,,"146 698,00",19,,52,16,"7 720,95","3 189,09","1,56",54,8,46,"41,30 %"
31.03.2026,,"194 920,00",24,,50,18,"8 121,67","4 331,56","1,61",54,9,45,"53,33 %"
апреля 2026,,"3 987 510,50",440,,876,339,"9 062,52","3 867,61","1,25",1620,589,1031,"42,68 %"
01.04.2026,,"186 320,07",24,,39,14,"7 763,34","4 140,45","1,29",54,9,45,"53,33 %"
02.04.2026,,"183 085,00",24,,48,15,"7 628,54","4 161,02","0,93",54,10,44,"54,55 %"
03.04.2026,,"149 672,25",18,,35,14,"8 315,13","3 118,17","1,21",54,6,48,"37,50 %"
04.04.2026,,"357 382,07",32,,71,26,"11 168,19","7 445,46","1,04",54,6,48,"66,67 %"
05.04.2026,,"46 601,00",5,,9,4,"9 320,20","1 035,58","2,00",54,9,45,"11,11 %"
06.04.2026,,"56 030,00",7,,10,4,"8 004,29","1 192,13","1,25",54,7,47,"14,89 %"
07.04.2026,,"68 022,00",10,,15,6,"6 802,20","1 417,13","2,33",54,6,48,"20,83 %"
08.04.2026,,"83 397,00",10,,19,7,"8 339,70","1 812,98","1,14",54,8,46,"21,74 %"
09.04.2026,,"91 154,50",10,,15,5,"9 115,45","1 860,30","1,00",54,5,49,"20,41 %"
10.04.2026,,"92 740,47",11,,19,8,"8 430,95","1 854,81","1,38",54,4,50,"22,00 %"
11.04.2026,,"308 335,53",26,,53,23,"11 859,06","6 292,56","1,04",54,5,49,"53,06 %"
12.04.2026,,"106 740,00",14,,26,10,"7 624,29","2 320,43","1,10",54,8,46,"30,43 %"
13.04.2026,,"93 935,00",13,,24,10,"7 225,77","2 184,53","1,50",54,11,43,"30,23 %"
14.04.2026,,"68 863,00",8,,11,5,"8 607,88","2 994,04","1,00",54,31,23,"34,78 %"
15.04.2026,,"75 020,00",9,,16,7,"8 335,56","3 572,38","1,43",54,33,21,"42,86 %"
16.04.2026,,"89 037,50",9,,19,8,"9 893,06","3 871,20","1,13",54,31,23,"39,13 %"
17.04.2026,,"128 508,00",14,,32,11,"9 179,14","5 841,27","1,09",54,32,22,"63,64 %"
18.04.2026,,"218 595,00",19,,40,17,"11 505,00","9 936,14","1,06",54,32,22,"86,36 %"
19.04.2026,,"83 366,00",9,,18,8,"9 262,89","3 624,61","1,13",54,31,23,"39,13 %"
20.04.2026,,"66 684,00",9,,14,7,"7 409,33","2 151,10","1,43",54,23,31,"29,03 %"
21.04.2026,,"27 410,00",3,,4,2,"9 136,67","1 245,91","2,00",54,32,22,"13,64 %"
22.04.2026,,"73 560,00",10,,16,7,"7 356,00","3 343,64","1,29",54,32,22,"45,45 %"
23.04.2026,,"58 060,00",9,,10,5,"6 451,11","2 524,35","1,00",54,31,23,"39,13 %"
24.04.2026,,"111 230,00",12,,28,11,"9 269,17","4 836,09","1,18",54,31,23,"52,17 %"
25.04.2026,,"358 938,05",31,,75,28,"11 578,65","10 255,37","1,11",54,19,35,"88,57 %"
26.04.2026,,"137 591,00",18,,40,13,"7 643,94","3 821,97","1,00",54,18,36,"50,00 %"
27.04.2026,,"126 950,00",14,,31,13,"9 067,86","6 347,50","1,08",54,34,20,"70,00 %"
28.04.2026,,"150 884,75",16,,41,15,"9 430,30","7 184,99","1,53",54,33,21,"76,19 %"
29.04.2026,,"104 557,00",14,,15,7,"7 468,36","4 978,90","1,29",54,33,21,"66,67 %"
30.04.2026,,"284 841,31",32,,83,29,"8 901,29","8 138,32","1,83",54,19,35,"91,43 %"
мая 2026,,"7 473 720,16",634,,1262,496,"11 788,20","5 056,64","1,18",1674,196,1478,"42,90 %"
01.05.2026,,"412 985,23",36,,66,21,"11 471,81","10 868,03","1,71",54,16,38,"94,74 %"
02.05.2026,,"471 937,47",36,,39,12,"13 109,37","12 100,96","1,08",54,15,39,"92,31 %"
03.05.2026,,"140 066,00",13,,25,12,"10 774,31","4 668,87","1,00",54,24,30,"43,33 %"
04.05.2026,,"98 171,00",10,,21,9,"9 817,10","3 272,37","1,56",54,24,30,"33,33 %"
05.05.2026,,"80 836,00",11,,16,6,"7 348,73","2 526,13","1,67",54,22,32,"34,38 %"
06.05.2026,,"139 126,00",14,,19,9,"9 937,57","3 161,95","1,78",54,10,44,"31,82 %"
07.05.2026,,"256 890,24",23,,46,17,"11 169,14","5 838,41","1,06",54,10,44,"52,27 %"
08.05.2026,,"488 214,63",35,,78,32,"13 948,99","10 613,36","1,53",54,8,46,"76,09 %"
09.05.2026,,"643 633,70",44,,77,29,"14 628,04","13 694,33","1,28",54,7,47,"93,62 %"
10.05.2026,,"516 166,74",38,,68,27,"13 583,34","10 982,27","1,00",54,7,47,"80,85 %"
11.05.2026,,"125 471,00",12,,32,12,"10 455,92","2 669,60","1,00",54,7,47,"25,53 %"
12.05.2026,,"67 181,00",7,,17,6,"9 597,29","1 460,46","1,00",54,8,46,"15,22 %"
13.05.2026,,"50 458,00",8,,13,5,"6 307,25","1 096,91","1,40",54,8,46,"17,39 %"
14.05.2026,,"113 886,00",11,,20,9,"10 353,27","2 324,20","1,11",54,5,49,"22,45 %"
15.05.2026,,"304 987,79",27,,57,25,"11 295,84","6 224,24","1,20",54,5,49,"55,10 %"
16.05.2026,,"652 760,37",48,,102,44,"13 599,17","12 553,08","1,00",54,2,52,"92,31 %"
17.05.2026,,"146 140,00",15,,32,11,"9 742,67","2 810,38","1,09",54,2,52,"28,85 %"
18.05.2026,,"80 361,00",9,,15,7,"8 929,00","1 575,71","1,71",54,3,51,"17,65 %"
19.05.2026,,"160 329,00",17,,30,12,"9 431,12","3 083,25","1,08",54,2,52,"32,69 %"
20.05.2026,,"164 214,25",16,,32,13,"10 263,39","3 098,38","0,85",54,1,53,"30,19 %"
21.05.2026,,"212 383,00",19,,45,18,"11 178,05","4 007,23","1,33",54,1,53,"35,85 %"
22.05.2026,,"317 344,00",27,,50,22,"11 753,48","5 987,62","1,18",54,1,53,"50,94 %"
23.05.2026,,"743 462,28",53,,127,47,"14 027,59","14 027,59","1,02",54,1,53,"100,00 %"
24.05.2026,,"105 466,16",10,,26,8,"10 546,62","1 989,93","1,00",54,1,53,"18,87 %"
25.05.2026,,"298 997,52",25,,54,25,"11 959,90","5 749,95","1,00",54,2,52,"48,08 %"
26.05.2026,,"89 396,64",14,,28,9,"6 385,47","1 719,17","0,89",54,2,52,"26,92 %"
27.05.2026,,"39 936,00",5,,10,4,"7 987,20","753,51","1,25",54,1,53,"9,43 %"
28.05.2026,,"55 941,00",6,,13,5,"9 323,50","1 055,49","1,00",54,1,53,"11,32 %"
29.05.2026,,"150 756,00",15,,41,14,"10 050,40","2 791,78","1,07",54,0,54,"27,78 %"
30.05.2026,,"229 250,00",18,,41,17,"12 736,11","4 245,37","1,18",54,0,54,"33,33 %"
31.05.2026,,"116 972,14",12,,22,9,"9 747,68","2 166,15","1,22",54,0,54,"22,22 %"
Итого за период,,"27 659 487,11",2574,,5433,2078,"10 745,72","4 359,94","1,18",8240,1896,6344,"40,57 %"
